Port,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PC6,-,-,TIM3_CH1,-,-,I2S2_MCK,-,-,USART6_TX,-,-,-,SDIO_D6,-,-,EVENTOUT
PC7,-,-,TIM3_CH2,-,-,SPI2_SCK/I2S2_CK,I2S3_MCK,-,USART6_RX,-,-,-,SDIO_D7,-,-,EVENTOUT
PC8,-,-,TIM3_CH3,-,-,-,-,-,USART6_CK,-,-,-,SDIO_D0,-,-,EVENTOUT
PC9,MCO_2,-,TIM3_CH4,-,I2C3_SDA,I2S2_CKIN,-,-,-,-,-,-,SDIO_D1,-,-,EVENTOUT
PC10,-,-,-,-,-,-,SPI3_SCK/I2S3_CK,-,-,-,-,-,SDIO_D2,-,-,EVENTOUT
PC11,-,-,-,-,-,I2S3ext_SD,SPI3_MISO,-,-,-,-,-,SDIO_D3,-,-,EVENTOUT
PC12,-,-,-,-,-,-,SPI3_MOSI/I2S3_SD,-,-,-,-,-,SDIO_CK,-,-,EVENTOUT
PC13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PC14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PC15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PD0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD2,-,-,TIM3_ETR,-,-,-,-,-,-,-,-,-,SDIO_CMD,-,-,EVENTOUT
PD3,-,-,-,-,-,SPI2_SCK/I2S2_CK,-,USART2_CTS,-,-,-,-,-,-,-,EVENTOUT
PD4,-,-,-,-,-,-,-,USART2_RTS,-,-,-,-,-,-,-,EVENTOUT
PD5,-,-,-,-,-,-,-,USART2_TX,-,-,-,-,-,-,-,EVENTOUT
PD6,-,-,-,-,-,SPI3_MOSI/I2S3_SD,-,USART2_RX,-,-,-,-,-,-,-,EVENTOUT
PD7,-,-,-,-,-,-,-,USART2_CK,-,-,-,-,-,-,-,EVENTOUT
PD8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD12,-,-,TIM4_CH1,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD13,-,-,TIM4_CH2,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD14,-,-,TIM4_CH3,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD15,-,-,TIM4_CH4,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE0,-,-,TIM4_ETR,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE2,TRACECLK,-,-,-,-,SPI4_SCK/I2S4_CK,SPI5_SCK/I2S5_CK,-,-,-,-,-,-,-,-,EVENTOUT
PE3,TRACED0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE4,TRACED1,-,-,-,-,SPI4_NSS/I2S4_WS,SPI5_NSS/I2S5_WS,-,-,-,-,-,-,-,-,EVENTOUT
PE5,TRACED2,-,-,TIM9_CH1,-,SPI4_MISO,SPI5_MISO,-,-,-,-,-,-,-,-,EVENTOUT
PE6,TRACED3,-,-,TIM9_CH2,-,SPI4_MOSI/I2S4_SD,SPI5_MOSI/I2S5_SD,-,-,-,-,-,-,-,-,EVENTOUT
PE7,-,TIM1_ETR,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE8,-,TIM1_CH1N,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE9,-,TIM1_CH1,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE10,-,TIM1_CH2N,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PE11,-,TIM1_CH2,-,-,-,SPI4_NSS/I2S4_WS,SPI5_NSS/I2S5_WS,-,-,-,-,-,-,-,-,EVENTOUT
PE12,-,TIM1_CH3N,-,-,-,SPI4_SCK/I2S4_CK,SPI5_SCK/I2S5_CK,-,-,-,-,-,-,-,-,EVENTOUT
PE13,-,TIM1_CH3,-,-,-,SPI4_MISO,SPI5_MISO,-,-,-,-,-,-,-,-,EVENTOUT
PE14,-,TIM1_CH4,-,-,-,SPI4_MOSI/I2S4_SD,SPI5_MOSI/I2S5_SD,-,-,-,-,-,-,-,-,EVENTOUT
PE15,-,TIM1_BKIN,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PH0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PH1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
